concept,name,concept_type,domain
phase,phase,entity_domain,
phase_from,phase_from,entity_set,phase
phase_to,phase_to,entity_set,phase
year,year,time,
amount__region4,Between regions,measure,
amount__region4_no_self,Between regions excluding internal m.,measure,
amount__loctype_to_region4,loctype_to_region4,measure,
amount__locality_type,Between loc types,measure,
amount__from_camps,From camps,measure,
amount__close_to_the_wall,From the wall,measure,
name,,string,
concept_type,,string,
domain,,string,
color,,string,
rank,,string,
